id,code,name,x_internal_type,x_parent_id:id,reconcile,user_type_id:id
co_puc_com_121020,121020,INDUSTRIA MANUFACTURERA,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121025,121025,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121030,121030,CONSTRUCCI���_N,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121035,121035,COMERCIO AL POR MAYOR Y AL POR MENOR,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121040,121040,HOTELES Y RESTAURANTES,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121045,121045,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121050,121050,ACTIVIDAD FINANCIERA,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121055,121055,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121060,121060,ENSE��ANZA,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121065,121065,SERVICIOS SOCIALES Y DE SALUD,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121070,121070,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_121099,121099,AJUSTES POR INFLACI���_N,other,co_puc_com_1210,FALSE,account.data_account_type_asset
co_puc_com_1215,1215,BONOS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_121505,121505,BONOS PެBLICOS MONEDA NACIONAL,other,co_puc_com_1215,FALSE,account.data_account_type_asset
co_puc_com_121510,121510,BONOS PެBLICOS MONEDA EXTRANJERA,other,co_puc_com_1215,FALSE,account.data_account_type_asset
co_puc_com_121515,121515,BONOS ORDINARIOS,other,co_puc_com_1215,FALSE,account.data_account_type_asset
co_puc_com_121520,121520,BONOS CONVERTIBLES EN ACCIONES,other,co_puc_com_1215,FALSE,account.data_account_type_asset
co_puc_com_121595,121595,OTROS,other,co_puc_com_1215,FALSE,account.data_account_type_asset
co_puc_com_1220,1220,C޸DULAS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_122005,122005,C޸DULAS DE CAPITALIZACI���_N,other,co_puc_com_1220,FALSE,account.data_account_type_asset
co_puc_com_122010,122010,C޸DULAS HIPOTECARIAS,other,co_puc_com_1220,FALSE,account.data_account_type_asset
co_puc_com_122015,122015,C޸DULAS DE INVERSI���_N,other,co_puc_com_1220,FALSE,account.data_account_type_asset
co_puc_com_122095,122095,OTRAS,other,co_puc_com_1220,FALSE,account.data_account_type_asset
co_puc_com_1225,1225,CERTIFICADOS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_122505,122505,CERTIFICADOS DE DEP���_SITO A T޸RMINO (CDT),other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122510,122510,CERTIFICADOS DE DEP���_SITO DE AHORRO,other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122515,122515,CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (CAVC),other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122520,122520,CERTIFICADOS DE CAMBIO,other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122525,122525,CERTIFICADOS CAFETEROS VALORIZABLES,other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122530,122530,CERTIFICADOS EL޸CTRICOS VALORIZABLES (CEV),other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122535,122535,CERTIFICADOS DE REEMBOLSO TRIBUTARIO (CERT),other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122540,122540,CERTIFICADOS DE DESARROLLO TUR���_STICO,other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122545,122545,CERTIFICADOS DE INVERSI���_N FORESTAL (CIF),other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_122595,122595,OTROS,other,co_puc_com_1225,FALSE,account.data_account_type_asset
co_puc_com_1230,1230,PAPELES COMERCIALES,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_123005,123005,EMPRESAS COMERCIALES,other,co_puc_com_1230,FALSE,account.data_account_type_asset
co_puc_com_123010,123010,EMPRESAS INDUSTRIALES,other,co_puc_com_1230,FALSE,account.data_account_type_asset
