id,parent_id:id
co_puc_com_131515,co_puc_com_1315
co_puc_com_131520,co_puc_com_1315
co_puc_com_1320,co_puc_com_13
co_puc_com_132005,co_puc_com_1320
co_puc_com_132010,co_puc_com_1320
co_puc_com_132015,co_puc_com_1320
co_puc_com_1323,co_puc_com_13
co_puc_com_132305,co_puc_com_1323
co_puc_com_1325,co_puc_com_13
co_puc_com_132505,co_puc_com_1325
co_puc_com_132510,co_puc_com_1325
co_puc_com_1328,co_puc_com_13
co_puc_com_132805,co_puc_com_1328
co_puc_com_1330,co_puc_com_13
co_puc_com_133005,co_puc_com_1330
co_puc_com_133010,co_puc_com_1330
co_puc_com_133015,co_puc_com_1330
co_puc_com_133020,co_puc_com_1330
co_puc_com_133025,co_puc_com_1330
co_puc_com_133030,co_puc_com_1330
co_puc_com_133095,co_puc_com_1330
co_puc_com_133099,co_puc_com_1330
co_puc_com_1332,co_puc_com_13
co_puc_com_133205,co_puc_com_1332
co_puc_com_1335,co_puc_com_13
co_puc_com_133505,co_puc_com_1335
co_puc_com_133510,co_puc_com_1335
co_puc_com_133515,co_puc_com_1335
co_puc_com_133520,co_puc_com_1335
co_puc_com_133525,co_puc_com_1335
co_puc_com_133530,co_puc_com_1335
co_puc_com_133535,co_puc_com_1335
co_puc_com_133595,co_puc_com_1335
co_puc_com_1340,co_puc_com_13
co_puc_com_134005,co_puc_com_1340
co_puc_com_134010,co_puc_com_1340
co_puc_com_134015,co_puc_com_1340
co_puc_com_134020,co_puc_com_1340
co_puc_com_134025,co_puc_com_1340
co_puc_com_134030,co_puc_com_1340
co_puc_com_134035,co_puc_com_1340
co_puc_com_134095,co_puc_com_1340
co_puc_com_1345,co_puc_com_13
co_puc_com_134505,co_puc_com_1345
co_puc_com_134510,co_puc_com_1345
co_puc_com_134515,co_puc_com_1345
co_puc_com_134520,co_puc_com_1345
co_puc_com_134525,co_puc_com_1345
co_puc_com_134530,co_puc_com_1345
co_puc_com_134535,co_puc_com_1345
co_puc_com_134595,co_puc_com_1345
co_puc_com_1350,co_puc_com_13
co_puc_com_135005,co_puc_com_1350
co_puc_com_135010,co_puc_com_1350
co_puc_com_135095,co_puc_com_1350
co_puc_com_1355,co_puc_com_13
co_puc_com_135505,co_puc_com_1355
co_puc_com_135510,co_puc_com_1355
co_puc_com_135515,co_puc_com_1355
co_puc_com_135517,co_puc_com_1355
co_puc_com_135518,co_puc_com_1355
co_puc_com_135519,co_puc_com_1355
co_puc_com_135520,co_puc_com_1355
co_puc_com_135525,co_puc_com_1355
co_puc_com_135530,co_puc_com_1355
co_puc_com_135595,co_puc_com_1355
co_puc_com_1360,co_puc_com_13
co_puc_com_136005,co_puc_com_1360
co_puc_com_136010,co_puc_com_1360
co_puc_com_136015,co_puc_com_1360
co_puc_com_136095,co_puc_com_1360
co_puc_com_1365,co_puc_com_13
co_puc_com_136505,co_puc_com_1365
co_puc_com_136510,co_puc_com_1365
co_puc_com_136515,co_puc_com_1365
co_puc_com_136520,co_puc_com_1365
co_puc_com_136525,co_puc_com_1365
co_puc_com_136530,co_puc_com_1365
co_puc_com_136595,co_puc_com_1365
co_puc_com_1370,co_puc_com_13
co_puc_com_137005,co_puc_com_1370
co_puc_com_137010,co_puc_com_1370
co_puc_com_1380,co_puc_com_13
co_puc_com_138005,co_puc_com_1380
co_puc_com_138010,co_puc_com_1380
co_puc_com_138015,co_puc_com_1380
co_puc_com_138020,co_puc_com_1380
co_puc_com_138025,co_puc_com_1380
co_puc_com_138030,co_puc_com_1380
co_puc_com_138095,co_puc_com_1380
co_puc_com_1385,co_puc_com_13
co_puc_com_138505,co_puc_com_1385
co_puc_com_1390,co_puc_com_13
co_puc_com_139005,co_puc_com_1390
co_puc_com_1399,co_puc_com_13
co_puc_com_139905,co_puc_com_1399
co_puc_com_139910,co_puc_com_1399
co_puc_com_139915,co_puc_com_1399
co_puc_com_139920,co_puc_com_1399
co_puc_com_139925,co_puc_com_1399
co_puc_com_139930,co_puc_com_1399
co_puc_com_139932,co_puc_com_1399
co_puc_com_139935,co_puc_com_1399
co_puc_com_139940,co_puc_com_1399
co_puc_com_139945,co_puc_com_1399
co_puc_com_139950,co_puc_com_1399
co_puc_com_139955,co_puc_com_1399
co_puc_com_139960,co_puc_com_1399
co_puc_com_139965,co_puc_com_1399
co_puc_com_139975,co_puc_com_1399
co_puc_com_139980,co_puc_com_1399
co_puc_com_14,co_puc_com_1
co_puc_com_1405,co_puc_com_14
co_puc_com_140501,co_puc_com_1405
co_puc_com_140560,co_puc_com_1405
co_puc_com_140599,co_puc_com_1405
co_puc_com_1410,co_puc_com_14
co_puc_com_141001,co_puc_com_1410
co_puc_com_141099,co_puc_com_1410
co_puc_com_1415,co_puc_com_14
co_puc_com_141599,co_puc_com_1415
co_puc_com_1417,co_puc_com_14
co_puc_com_141799,co_puc_com_1417
co_puc_com_1420,co_puc_com_14
co_puc_com_142099,co_puc_com_1420
co_puc_com_1425,co_puc_com_14
co_puc_com_142599,co_puc_com_1425
co_puc_com_1428,co_puc_com_14
co_puc_com_142899,co_puc_com_1428
co_puc_com_1430,co_puc_com_14
co_puc_com_143005,co_puc_com_1430
co_puc_com_143010,co_puc_com_1430
co_puc_com_143015,co_puc_com_1430
co_puc_com_143020,co_puc_com_1430
co_puc_com_143025,co_puc_com_1430
co_puc_com_143099,co_puc_com_1430
co_puc_com_1435,co_puc_com_14
co_puc_com_143501,co_puc_com_1435
co_puc_com_143599,co_puc_com_1435
co_puc_com_1440,co_puc_com_14
co_puc_com_144099,co_puc_com_1440
co_puc_com_1445,co_puc_com_14
co_puc_com_144505,co_puc_com_1445
co_puc_com_144510,co_puc_com_1445
co_puc_com_144599,co_puc_com_1445
co_puc_com_1450,co_puc_com_14
co_puc_com_145005,co_puc_com_1450
co_puc_com_145010,co_puc_com_1450
co_puc_com_145099,co_puc_com_1450
co_puc_com_1455,co_puc_com_14
co_puc_com_145505,co_puc_com_1455
co_puc_com_145510,co_puc_com_1455
co_puc_com_145515,co_puc_com_1455
co_puc_com_145520,co_puc_com_1455
co_puc_com_145525,co_puc_com_1455
co_puc_com_145530,co_puc_com_1455
co_puc_com_145535,co_puc_com_1455
co_puc_com_145540,co_puc_com_1455
co_puc_com_145545,co_puc_com_1455
co_puc_com_145550,co_puc_com_1455
co_puc_com_145555,co_puc_com_1455
co_puc_com_145560,co_puc_com_1455
co_puc_com_145595,co_puc_com_1455
co_puc_com_145599,co_puc_com_1455
co_puc_com_1460,co_puc_com_14
co_puc_com_146099,co_puc_com_1460
co_puc_com_1465,co_puc_com_14
co_puc_com_146520,co_puc_com_1465
co_puc_com_146599,co_puc_com_1465
co_puc_com_1499,co_puc_com_14
co_puc_com_149905,co_puc_com_1499
co_puc_com_149910,co_puc_com_1499
co_puc_com_149915,co_puc_com_1499
co_puc_com_149920,co_puc_com_1499
co_puc_com_15,co_puc_com_1
co_puc_com_1504,co_puc_com_15
co_puc_com_150405,co_puc_com_1504
co_puc_com_150410,co_puc_com_1504
co_puc_com_150499,co_puc_com_1504
co_puc_com_1506,co_puc_com_15
co_puc_com_150605,co_puc_com_1506
co_puc_com_150610,co_puc_com_1506
co_puc_com_150615,co_puc_com_1506
co_puc_com_150699,co_puc_com_1506
co_puc_com_1508,co_puc_com_15
co_puc_com_150805,co_puc_com_1508
co_puc_com_150810,co_puc_com_1508
co_puc_com_150815,co_puc_com_1508
co_puc_com_150820,co_puc_com_1508
co_puc_com_150825,co_puc_com_1508
co_puc_com_150830,co_puc_com_1508
co_puc_com_150899,co_puc_com_1508
co_puc_com_1512,co_puc_com_15
co_puc_com_151205,co_puc_com_1512
co_puc_com_151210,co_puc_com_1512
co_puc_com_151215,co_puc_com_1512
co_puc_com_151220,co_puc_com_1512
co_puc_com_151225,co_puc_com_1512
co_puc_com_151230,co_puc_com_1512
co_puc_com_151235,co_puc_com_1512
co_puc_com_151240,co_puc_com_1512
co_puc_com_151245,co_puc_com_1512
co_puc_com_151250,co_puc_com_1512
co_puc_com_151299,co_puc_com_1512
co_puc_com_1516,co_puc_com_15
co_puc_com_151605,co_puc_com_1516
co_puc_com_151610,co_puc_com_1516
co_puc_com_151615,co_puc_com_1516
co_puc_com_151620,co_puc_com_1516
co_puc_com_151625,co_puc_com_1516
co_puc_com_151630,co_puc_com_1516
co_puc_com_151635,co_puc_com_1516
co_puc_com_151640,co_puc_com_1516
co_puc_com_151645,co_puc_com_1516
co_puc_com_151650,co_puc_com_1516
co_puc_com_151655,co_puc_com_1516
co_puc_com_151660,co_puc_com_1516
co_puc_com_151663,co_puc_com_1516
co_puc_com_151665,co_puc_com_1516
co_puc_com_151670,co_puc_com_1516
co_puc_com_151675,co_puc_com_1516
co_puc_com_151680,co_puc_com_1516
co_puc_com_151695,co_puc_com_1516
co_puc_com_151699,co_puc_com_1516
co_puc_com_1520,co_puc_com_15
co_puc_com_152005,co_puc_com_1520
co_puc_com_152010,co_puc_com_1520
co_puc_com_152099,co_puc_com_1520
co_puc_com_1524,co_puc_com_15
co_puc_com_152405,co_puc_com_1524
co_puc_com_152410,co_puc_com_1524
co_puc_com_152495,co_puc_com_1524
co_puc_com_152499,co_puc_com_1524
co_puc_com_1528,co_puc_com_15
co_puc_com_152805,co_puc_com_1528
co_puc_com_152810,co_puc_com_1528
co_puc_com_152815,co_puc_com_1528
co_puc_com_152820,co_puc_com_1528
co_puc_com_152825,co_puc_com_1528
co_puc_com_152895,co_puc_com_1528
co_puc_com_152899,co_puc_com_1528
co_puc_com_1532,co_puc_com_15
co_puc_com_153205,co_puc_com_1532
co_puc_com_153210,co_puc_com_1532
