id,code,name,reconcile,user_type_id:id,chart_template_id:id
co_puc_110505,110505,"CAJA GENERAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_110510,110510,"CAJAS MENORES",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_110515,110515,"MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_111005,111005,"MONEDA NACIONAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_111010,111010,"MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_111505,111505,"MONEDA NACIONAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_111510,111510,"MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112005,112005,"BANCOS",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112010,112010,"CORPORACIONES DE AHORRO Y VIVIENDA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112015,112015,"ORGANISMOS COOPERATIVOS FINANCIEROS",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112505,112505,"ROTATORIOS MONEDA NACIONAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112510,112510,"ROTATORIOS MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112515,112515,"ESPECIALES MONEDA NACIONAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112520,112520,"ESPECIALES MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112525,112525,"DE AMORTIZACIÓN MONEDA NACIONAL",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_112530,112530,"DE AMORTIZACIÓN MONEDA EXTRANJERA",TRUE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_120505,120505,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120510,120510,"PESCA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120515,120515,"EXPLOTACIÓN DE MINAS Y CANTERAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120520,120520,"INDUSTRIA MANUFACTURERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120525,120525,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120530,120530,"CONSTRUCCIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120535,120535,"COMERCIO AL POR MAYOR Y AL POR MENOR",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120540,120540,"HOTELES Y RESTAURANTES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120545,120545,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120550,120550,"ACTIVIDAD FINANCIERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120555,120555,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120560,120560,"ENSEÑANZA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120565,120565,"SERVICIOS SOCIALES Y DE SALUD",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120570,120570,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_120599,120599,"AJUSTES POR INFLACIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121005,121005,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121010,121010,"PESCA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121015,121015,"EXPLOTACIÓN DE MINAS Y CANTERAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121020,121020,"INDUSTRIA MANUFACTURERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121025,121025,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121030,121030,"CONSTRUCCIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121035,121035,"COMERCIO AL POR MAYOR Y AL POR MENOR",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121040,121040,"HOTELES Y RESTAURANTES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121045,121045,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121050,121050,"ACTIVIDAD FINANCIERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121055,121055,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121060,121060,"ENSEÑANZA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121065,121065,"SERVICIOS SOCIALES Y DE SALUD",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121070,121070,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121099,121099,"AJUSTES POR INFLACIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121505,121505,"BONOS PÚBLICOS MONEDA NACIONAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121510,121510,"BONOS PÚBLICOS MONEDA EXTRANJERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121515,121515,"BONOS ORDINARIOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121520,121520,"BONOS CONVERTIBLES EN ACCIONES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_121595,121595,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122005,122005,"CÉDULAS DE CAPITALIZACIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122010,122010,"CÉDULAS HIPOTECARIAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122015,122015,"CÉDULAS DE INVERSIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122095,122095,"OTRAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122505,122505,"CERTIFICADOS DE DEPÓSITO A TÉRMINO (CDT)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122510,122510,"CERTIFICADOS DE DEPÓSITO DE AHORRO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122515,122515,"CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (CAVC)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
