"id,""code"",""name"",""reconcile"",""user_type_id:id"",""chart_template_id:id"""
"co_puc_com_121020,""121020"",""Industria Manufacturera"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121025,""121025"",""Suministro De Electricidad, Gas Y Agua"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121030,""121030"",""ConstrucciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121035,""121035"",""Comercio Al Por Mayor Y Al Por Menor"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121040,""121040"",""Hoteles Y Restaurantes"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121045,""121045"",""Transporte, Almacenamiento Y Comunicaciones"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121050,""121050"",""Actividad Financiera"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121055,""121055"",""Actividades Inmobiliarias, Empresariales Y De Alquiler"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121060,""121060"",""EnseÃ±anza"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121065,""121065"",""Servicios Sociales Y De Salud"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121070,""121070"",""Otras Actividades De Servicios Comunitarios, Sociales Y Personales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121099,""121099"",""Ajustes Por InflaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1215,""1215"",""Bonos"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_121505,""121505"",""Bonos PÃºblicos Moneda Nacional"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121510,""121510"",""Bonos PÃºblicos Moneda Extranjera"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121515,""121515"",""Bonos Ordinarios"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121520,""121520"",""Bonos Convertibles En Acciones"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_121595,""121595"",""Otros"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1220,""1220"",""CÃ©dulas"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_122005,""122005"",""CÃ©dulas De CapitalizaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122010,""122010"",""CÃ©dulas Hipotecarias"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122015,""122015"",""CÃ©dulas De InversiÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122095,""122095"",""Otras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1225,""1225"",""Certificados"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_122505,""122505"",""Certificados De DepÃ_sito A TÃ©rmino (Cdt)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122510,""122510"",""Certificados De DepÃ_sito De Ahorro"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122515,""122515"",""Certificados De Ahorro De Valor Constante (Cavc)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122520,""122520"",""Certificados De Cambio"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122525,""122525"",""Certificados Cafeteros Valorizables"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122530,""122530"",""Certificados ElÃ©ctricos Valorizables (Cev)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122535,""122535"",""Certificados De Reembolso Tributario (Cert)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122540,""122540"",""Certificados De Desarrollo TurÃ_stico"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122545,""122545"",""Certificados De InversiÃ_n Forestal (Cif)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_122595,""122595"",""Otros"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1230,""1230"",""Papeles Comerciales"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_123005,""123005"",""Empresas Comerciales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123010,""123010"",""Empresas Industriales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
