id,code,name,reconcile,user_type_id:id,chart_template_id:id
co_puc_com_121050,121050,"ACTIVIDAD FINANCIERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121055,121055,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121060,121060,"ENSENANZA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121065,121065,"SERVICIOS SOCIALES Y DE SALUD",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121070,121070,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121099,121099,"AJUSTES POR INFLACION",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121505,121505,"BONOS PUBLICOS MONEDA NACIONAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121510,121510,"BONOS PUBLICOS MONEDA EXTRANJERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121515,121515,"BONOS ORDINARIOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121520,121520,"BONOS CONVERTIBLES EN ACCIONES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_121595,121595,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122005,122005,"CEDULAS DE CAPITALIZACION",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122010,122010,"CEDULAS HIPOTECARIAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122015,122015,"CEDULAS DE INVERSION",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122095,122095,"OTRAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122505,122505,"CERTIFICADOS DE DEPOSITI A TERMINO (CDT)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122510,122510,"CERTIFICADOS DE DEPOSITI DE AHORRO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122515,122515,"CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (CAVC)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122520,122520,"CERTIFICADOS DE CAMBIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122525,122525,"CERTIFICADOS CAFETEROS VALORIZABLES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122530,122530,"CERTIFICADOS ELECTRICOS VALORIZABLES (CEV)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122535,122535,"CERTIFICADOS DE REEMBOLSO TRIBUTARIO (CERT)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122540,122540,"CERTIFICADOS DE DESARROLLO TUROSTICO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122545,122545,"CERTIFICADOS DE INVERSION FORESTAL (CIF)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_122595,122595,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123005,123005,"EMPRESAS COMERCIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123010,123010,"EMPRESAS INDUSTRIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123015,123015,"EMPRESAS DE SERVICIOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123505,123505,"TITULOS DE DESARROLLO AGROPECUARIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123510,123510,"TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123515,123515,"TITULOS DE TESOREROA (TES)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123520,123520,"TITULOS DE PARTICIPACION",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
co_puc_com_123525,123525,"TITULOS DE CREDITI DE FOMENTI",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_comercial
